,value
n,43.0
pearson_r,-0.12705739854499448
pearson_p,0.41683852397588456
spearman_r,-0.12401527579834122
spearman_p,0.4281712205893846
pearson_ci95_low,-0.4371075510623762
pearson_ci95_high,0.300485863797469
