session_id,mean,is_outlier
multi_1728650072.4056401,0.1302026362578616,False
multi_1728649824.554737,0.14355114358654347,False
multi_1728653943.542037,0.15914747923365977,False
multi_1728649266.1441631,0.16778202352390234,False
multi_1728652544.508274,0.1845606472682045,False
multi_1728650309.359189,0.31055822815706646,False
multi_1728653344.048434,0.5068221095831336,False
multi_1728654410.9892302,0.6761237156808318,False
multi_1728656335.2319689,0.7477885589667178,False
multi_1728654671.250972,0.7865093975094712,False
multi_1728651323.66079,0.7921350172148569,False
multi_1728655083.039422,0.7922785448615037,False
multi_1728651097.07392,0.7999934229546418,False
multi_1728649101.779892,0.8606761762511497,False
multi_1728651547.954052,0.8943177896443032,False
multi_1728655810.846621,0.8997177051406143,False
multi_1728648542.4759622,0.9123824788039268,False
multi_1728654157.5263371,1.0056553854324437,False
multi_1728651785.537397,1.0305245391061046,False
multi_1728655405.080202,1.0729986517113632,False
multi_1728648264.0338469,1.1708371684931185,False
multi_1728650842.0023441,1.3348372121580496,False
multi_1728655879.570096,1.372509577362861,False
multi_1728656047.610746,1.4368955030306676,False
multi_1728648021.001131,1.4373472871553268,False
multi_1728649548.4170341,1.4525380283547176,False
multi_1728650562.593113,1.6963048006055983,False
multi_1728656747.8763719,1.727604520605489,False
multi_1728653633.169157,1.794316036156601,False
multi_1728648795.166475,1.8131258704805093,False
multi_1728656537.97135,2.311026124609995,False
multi_1728655635.687125,3.385379929076835,False
