session_id,channel,n,n_valid,n_missing,mean,sd,median,mad,trimmed_mean_10,q1,q3,iqr,min,max,skewness,kurtosis
multi_1728648021.001131,gFx,3390,3390,0,0.014365781710914455,0.0667178715118597,0.0153,0.047591531214029814,0.016146533923303834,-0.0158,0.048075,0.063875,-0.3183,0.2795,-0.505146033794421,2.6291659180957376
multi_1728648021.001131,gFy,3390,3390,0,-0.9934865191740413,0.12903384068940518,-0.9818,0.14277459364208947,-0.9850037241887906,-1.0895249999999999,-0.8892249999999999,0.20029999999999992,-1.487,-0.7252,-0.5682054753655577,-0.2619686366470666
multi_1728648021.001131,gFz,3390,3390,0,0.11673890855457228,0.1031207702072889,0.1164,0.08502723723129628,0.11661434365781712,0.0605,0.176,0.11549999999999999,-0.2429,0.4659,0.05291738411957157,0.5325628695380944
multi_1728648021.001131,ax,3390,3390,0,-0.022060206489675514,0.5846541041954872,-0.0236,0.42513618615648135,-0.034735951327433644,-0.3138,0.2576,0.5714,-2.3837,2.5072,0.34749874607320236,1.9817512631683254
multi_1728648021.001131,ay,3390,3390,0,0.0051794395280236015,1.2391742223046103,-0.1055,1.339531104419811,-0.07807020648967565,-0.9814,0.899,1.8804,-2.4843,4.8218,0.5886076371837109,-0.20200477176070786
multi_1728648021.001131,az,3390,3390,0,-0.04044300884955751,0.9934408620338728,-0.0016,0.8069803875325992,-0.022044653392330364,-0.5802,0.5231,1.1033,-3.3976,2.9574,-0.21274117536350867,0.6018596602957196
multi_1728648021.001131,wx,3390,3390,0,0.0006540707964601768,0.12146231984760857,-0.0033,0.10311498429706462,0.0004115044247787609,-0.06775,0.0728,0.14055,-0.367,0.365,-0.012764168040900923,0.5478316872636735
multi_1728648021.001131,wy,3390,3390,0,-0.08739911504424779,0.33785844783763624,-0.006,0.17427989078533354,-0.040646681415929205,-0.172525,0.07505,0.24757500000000002,-1.38,0.657,-1.5201995199357428,2.880454818043467
multi_1728648021.001131,wz,3390,3390,0,0.007982182890855456,0.08904739270793406,0.008,0.06983056449161386,0.011233333333333335,-0.029875,0.0621,0.091975,-0.2836,0.2445,-0.33842561801297516,0.4088116260838013
multi_1728648021.001131,yaw,3390,3390,0,-1.3769107079646017,1.8551167194571536,-2.5932000000000004,0.28124964085051235,-1.656532079646018,-2.7028,0.3349,3.0377,-3.1308,3.1395,0.9435331646101077,-0.5076653957608737
