time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,yaw,pitch,roll
2024-10-11T14:16:29.084Z,0.0177,-0.9954,0.1124,0.0035,0.0352,0.0285,0.0207,-0.0194,-0.0046,2.8133,1.4537,2.9672
2024-10-11T14:16:29.090Z,0.0206,-0.9973,0.1129,0.0035,0.0352,0.0285,0.0172,-0.0137,-0.0047,2.8133,1.4537,2.9672
2024-10-11T14:16:29.101Z,0.0205,-0.9980,0.1108,0.0035,0.0352,0.0285,0.0180,-0.0122,-0.0060,2.8133,1.4537,2.9672
2024-10-11T14:16:29.111Z,0.0217,-0.9983,0.1107,-0.0037,0.0440,0.0490,0.0144,-0.0109,-0.0063,2.8136,1.4532,2.9662
2024-10-11T14:16:29.121Z,0.0228,-0.9988,0.1127,-0.0037,0.0440,0.0490,0.0118,-0.0086,-0.0047,2.8136,1.4532,2.9662
2024-10-11T14:16:29.131Z,0.0217,-0.9989,0.1131,-0.0037,0.0440,0.0490,0.0144,-0.0089,-0.0051,2.8136,1.4532,2.9662
2024-10-11T14:16:29.141Z,0.0210,-1.0002,0.1138,-0.0008,0.0601,0.0228,0.0151,-0.0031,-0.0043,2.8137,1.4528,2.9656
2024-10-11T14:16:29.151Z,0.0217,-1.0023,0.1164,-0.0008,0.0601,0.0228,0.0102,-0.0064,-0.0019,2.8137,1.4528,2.9656
2024-10-11T14:16:29.161Z,0.0195,-1.0018,0.1161,-0.0008,0.0601,0.0228,0.0138,-0.0070,-0.0011,2.8137,1.4528,2.9656
2024-10-11T14:16:29.171Z,0.0207,-1.0011,0.1169,0.0118,0.0854,-0.0030,0.0096,-0.0036,-0.0010,2.8134,1.4524,2.9655
2024-10-11T14:16:29.181Z,0.0228,-1.0017,0.1155,0.0118,0.0854,-0.0030,0.0095,-0.0014,-0.0002,2.8134,1.4524,2.9655
2024-10-11T14:16:29.191Z,0.0228,-1.0017,0.1155,0.0118,0.0854,-0.0030,0.0052,-0.0009,-0.0012,2.8134,1.4524,2.9655
2024-10-11T14:16:29.201Z,0.0227,-1.0006,0.1178,-0.0146,0.0625,-0.0105,0.0076,0.0009,0.0007,2.8132,1.4523,2.9654
2024-10-11T14:16:29.211Z,0.0215,-0.9978,0.1171,-0.0146,0.0625,-0.0105,0.0072,0.0013,0.0022,2.8132,1.4523,2.9654
2024-10-11T14:16:29.221Z,0.0215,-0.9978,0.1171,-0.0146,0.0625,-0.0105,0.0025,0.0041,0.0020,2.8132,1.4523,2.9654
2024-10-11T14:16:29.231Z,0.0221,-0.9959,0.1173,-0.0308,0.0253,-0.0277,0.0025,0.0093,0.0008,2.8129,1.4523,2.9655
2024-10-11T14:16:29.241Z,0.0231,-0.9961,0.1202,-0.0308,0.0253,-0.0277,0.0016,0.0090,0.0050,2.8129,1.4523,2.9655
2024-10-11T14:16:29.251Z,0.0202,-0.9949,0.1225,-0.0308,0.0253,-0.0277,0.0001,0.0109,0.0047,2.8129,1.4523,2.9655
2024-10-11T14:16:29.261Z,0.0207,-0.9962,0.1271,-0.0038,0.0344,-0.0892,0.0007,0.0115,0.0039,2.8121,1.4523,2.9663
2024-10-11T14:16:29.272Z,0.0207,-0.9962,0.1271,-0.0038,0.0344,-0.0892,0.0007,0.0115,0.0039,2.8121,1.4523,2.9663
2024-10-11T14:16:29.281Z,0.0175,-1.0024,0.1296,-0.0038,0.0344,-0.0892,-0.0008,0.0093,0.0068,2.8121,1.4523,2.9663
2024-10-11T14:16:29.291Z,0.0176,-1.0010,0.1267,0.0243,0.0767,-0.1109,-0.0079,0.0109,0.0028,2.8111,1.4523,2.9673
2024-10-11T14:16:29.301Z,0.0136,-1.0027,0.1285,0.0243,0.0767,-0.1109,-0.0068,0.0094,0.0033,2.8111,1.4523,2.9673
2024-10-11T14:16:29.311Z,0.0136,-1.0027,0.1285,0.0243,0.0767,-0.1109,-0.0045,0.0107,0.0025,2.8111,1.4523,2.9673
2024-10-11T14:16:29.321Z,0.0217,-1.0031,0.1299,0.0325,0.1182,-0.1197,-0.0045,0.0107,0.0025,2.8104,1.4525,2.9681
2024-10-11T14:16:29.331Z,0.0203,-1.0032,0.1260,0.0325,0.1182,-0.1197,-0.0077,0.0098,0.0028,2.8104,1.4525,2.9681
2024-10-11T14:16:29.341Z,0.0203,-1.0032,0.1260,0.0325,0.1182,-0.1197,-0.0142,0.0116,0.0019,2.8104,1.4525,2.9681
2024-10-11T14:16:29.350Z,0.0185,-1.0012,0.1252,0.0010,0.0819,-0.0880,-0.0119,0.0126,0.0033,2.8098,1.4528,2.9688
2024-10-11T14:16:29.361Z,0.0230,-1.0003,0.1241,0.0010,0.0819,-0.0880,-0.0144,0.0096,0.0060,2.8098,1.4528,2.9688
2024-10-11T14:16:29.371Z,0.0228,-0.9971,0.1243,0.0010,0.0819,-0.0880,-0.0144,0.0096,0.0060,2.8098,1.4528,2.9688
2024-10-11T14:16:29.381Z,0.0203,-0.9938,0.1223,-0.0131,0.0077,-0.0717,-0.0134,0.0116,0.0049,2.8082,1.4530,2.9704
2024-10-11T14:16:29.391Z,0.0203,-0.9938,0.1223,-0.0131,0.0077,-0.0717,-0.0104,0.0089,0.0076,2.8082,1.4530,2.9704
2024-10-11T14:16:29.401Z,0.0214,-0.9946,0.1194,-0.0131,0.0077,-0.0717,-0.0136,0.0095,0.0042,2.8082,1.4530,2.9704
2024-10-11T14:16:29.411Z,0.0219,-0.9949,0.1228,-0.0211,0.0107,-0.0484,-0.0187,0.0093,0.0045,2.8069,1.4534,2.9719
2024-10-11T14:16:29.421Z,0.0219,-0.9949,0.1228,-0.0211,0.0107,-0.0484,-0.0158,0.0056,0.0040,2.8069,1.4534,2.9719
2024-10-11T14:16:29.431Z,0.0188,-0.9943,0.1230,-0.0211,0.0107,-0.0484,-0.0177,0.0032,0.0031,2.8069,1.4534,2.9719
2024-10-11T14:16:29.440Z,0.0200,-0.9952,0.1243,0.0106,0.0326,-0.0826,-0.0169,-0.0015,0.0038,2.8063,1.4537,2.9723
2024-10-11T14:16:29.451Z,0.0157,-0.9993,0.1212,0.0106,0.0326,-0.0826,-0.0173,-0.0014,0.0041,2.8063,1.4537,2.9723
2024-10-11T14:16:29.462Z,0.0160,-1.0008,0.1223,0.0106,0.0326,-0.0826,-0.0191,-0.0067,-0.0007,2.8063,1.4537,2.9723
2024-10-11T14:16:29.472Z,0.0160,-1.0008,0.1223,0.0191,0.0996,-0.1092,-0.0195,-0.0099,-0.0002,2.8065,1.4542,2.9718
2024-10-11T14:16:29.481Z,0.0191,-1.0038,0.1264,0.0191,0.0996,-0.1092,-0.0196,-0.0135,0.0013,2.8065,1.4542,2.9718
2024-10-11T14:16:29.491Z,0.0155,-0.9986,0.1249,0.0191,0.0996,-0.1092,-0.0240,-0.0150,-0.0022,2.8065,1.4542,2.9718
2024-10-11T14:16:29.501Z,0.0151,-0.9959,0.1293,0.0468,0.0487,-0.1253,-0.0261,-0.0195,-0.0013,2.8076,1.4547,2.9700
2024-10-11T14:16:29.511Z,0.0149,-0.9955,0.1309,0.0468,0.0487,-0.1253,-0.0278,-0.0208,-0.0049,2.8076,1.4547,2.9700
2024-10-11T14:16:29.521Z,0.0149,-0.9955,0.1309,0.0468,0.0487,-0.1253,-0.0286,-0.0235,-0.0049,2.8076,1.4547,2.9700
2024-10-11T14:16:29.531Z,0.0168,-0.9943,0.1318,0.0284,0.0131,-0.1976,-0.0345,-0.0234,-0.0082,2.8092,1.4553,2.9675
2024-10-11T14:16:29.541Z,0.0140,-0.9916,0.1318,0.0284,0.0131,-0.1976,-0.0340,-0.0261,-0.0067,2.8092,1.4553,2.9675
2024-10-11T14:16:29.551Z,0.0147,-0.9943,0.1304,0.0284,0.0131,-0.1976,-0.0349,-0.0272,-0.0074,2.8092,1.4553,2.9675
2024-10-11T14:16:29.561Z,0.0149,-0.9931,0.1282,0.0577,0.0008,-0.1663,-0.0374,-0.0282,-0.0086,2.8120,1.4562,2.9638
2024-10-11T14:16:29.571Z,0.0149,-0.9931,0.1282,0.0577,0.0008,-0.1663,-0.0365,-0.0309,-0.0078,2.8120,1.4562,2.9638
2024-10-11T14:16:29.581Z,0.0123,-0.9910,0.1213,0.0577,0.0008,-0.1663,-0.0378,-0.0336,-0.0066,2.8120,1.4562,2.9638
2024-10-11T14:16:29.591Z,0.0152,-0.9891,0.1202,0.0767,-0.0322,-0.0942,-0.0385,-0.0347,-0.0089,2.8151,1.4572,2.9595
2024-10-11T14:16:29.601Z,0.0172,-0.9847,0.1163,0.0767,-0.0322,-0.0942,-0.0373,-0.0334,-0.0098,2.8151,1.4572,2.9595
2024-10-11T14:16:29.611Z,0.0201,-0.9842,0.1144,0.0767,-0.0322,-0.0942,-0.0384,-0.0328,-0.0091,2.8151,1.4572,2.9595
2024-10-11T14:16:29.621Z,0.0201,-0.9842,0.1144,0.0165,-0.1081,-0.0354,-0.0360,-0.0330,-0.0082,2.8185,1.4581,2.9548
2024-10-11T14:16:29.630Z,0.0171,-0.9800,0.1116,0.0165,-0.1081,-0.0354,-0.0335,-0.0330,-0.0098,2.8185,1.4581,2.9548
2024-10-11T14:16:29.640Z,0.0191,-0.9806,0.1096,0.0165,-0.1081,-0.0354,-0.0307,-0.0334,-0.0069,2.8185,1.4581,2.9548
2024-10-11T14:16:29.651Z,0.0165,-0.9816,0.1061,0.0464,-0.1064,0.0340,-0.0294,-0.0317,-0.0101,2.8221,1.4590,2.9499
2024-10-11T14:16:29.661Z,0.0162,-0.9820,0.1032,0.0464,-0.1064,0.0340,-0.0250,-0.0320,-0.0075,2.8221,1.4590,2.9499
2024-10-11T14:16:29.671Z,0.0162,-0.9820,0.1032,0.0464,-0.1064,0.0340,-0.0216,-0.0310,-0.0076,2.8221,1.4590,2.9499
2024-10-11T14:16:29.681Z,0.0203,-0.9808,0.1036,0.0240,-0.1191,0.0495,-0.0193,-0.0287,-0.0073,2.8260,1.4597,2.9449
2024-10-11T14:16:29.691Z,0.0203,-0.9808,0.1036,0.0240,-0.1191,0.0495,-0.0146,-0.0268,-0.0074,2.8260,1.4597,2.9449
2024-10-11T14:16:29.701Z,0.0215,-0.9805,0.1096,0.0240,-0.1191,0.0495,-0.0138,-0.0256,-0.0053,2.8260,1.4597,2.9449
2024-10-11T14:16:29.711Z,0.0237,-0.9812,0.1127,-0.0068,-0.1285,-0.0332,-0.0117,-0.0231,-0.0047,2.8287,1.4602,2.9411
2024-10-11T14:16:29.721Z,0.0237,-0.9812,0.1127,-0.0068,-0.1285,-0.0332,-0.0117,-0.0173,-0.0053,2.8287,1.4602,2.9411
2024-10-11T14:16:29.731Z,0.0247,-0.9852,0.1188,-0.0068,-0.1285,-0.0332,-0.0101,-0.0152,-0.0012,2.8287,1.4602,2.9411
2024-10-11T14:16:29.741Z,0.0236,-0.9857,0.1223,-0.0302,-0.0965,-0.1275,-0.0115,-0.0102,-0.0026,2.8300,1.4605,2.9390
