time,wx,wy,wz
2024-10-11T10:31:19.580Z,-0.5035,0.1488,-0.0553
2024-10-11T10:31:19.586Z,-0.4738,0.2567,-0.1635
2024-10-11T10:31:19.597Z,-0.3370,0.0625,-0.2250
2024-10-11T10:31:19.606Z,-0.1807,-0.1297,-0.2207
2024-10-11T10:31:19.615Z,-0.1807,-0.1297,-0.2207
2024-10-11T10:31:19.626Z,0.0255,-0.3433,-0.2057
2024-10-11T10:31:19.637Z,0.1115,-0.3284,-0.1893
2024-10-11T10:31:19.646Z,0.1688,-0.3161,-0.1508
2024-10-11T10:31:19.656Z,0.1775,-0.2680,-0.1031
2024-10-11T10:31:19.667Z,0.1514,-0.2031,-0.0761
2024-10-11T10:31:19.677Z,0.1065,-0.1553,-0.0678
2024-10-11T10:31:19.687Z,0.0424,-0.1224,-0.0556
2024-10-11T10:31:19.697Z,-0.0201,-0.0756,-0.0314
2024-10-11T10:31:19.707Z,-0.0698,-0.0211,-0.0045
2024-10-11T10:31:19.718Z,-0.0984,0.0121,0.0121
2024-10-11T10:31:19.727Z,-0.1010,0.0204,0.0196
2024-10-11T10:31:19.737Z,-0.0794,0.0322,0.0161
2024-10-11T10:31:19.747Z,-0.0337,0.0564,0.0189
2024-10-11T10:31:19.757Z,0.0268,0.0880,0.0123
2024-10-11T10:31:19.769Z,0.0821,0.1297,-0.0066
2024-10-11T10:31:19.777Z,0.1242,0.1641,-0.0373
2024-10-11T10:31:19.785Z,0.1242,0.1641,-0.0373
2024-10-11T10:31:19.797Z,0.1742,0.1886,-0.0858
2024-10-11T10:31:19.807Z,0.1746,0.1767,-0.0946
2024-10-11T10:31:19.819Z,0.1646,0.1569,-0.1010
2024-10-11T10:31:19.827Z,0.1465,0.1479,-0.0954
2024-10-11T10:31:19.838Z,0.1266,0.1279,-0.0903
2024-10-11T10:31:19.845Z,0.1266,0.1279,-0.0903
2024-10-11T10:31:19.857Z,0.0583,0.1065,-0.0714
2024-10-11T10:31:19.868Z,0.0211,0.1168,-0.0548
2024-10-11T10:31:19.876Z,0.0211,0.1168,-0.0548
2024-10-11T10:31:19.887Z,-0.0429,0.1224,-0.0223
2024-10-11T10:31:19.897Z,-0.0650,0.1117,-0.0064
2024-10-11T10:31:19.907Z,-0.0783,0.0974,0.0190
2024-10-11T10:31:19.919Z,-0.0789,0.0943,0.0421
2024-10-11T10:31:19.927Z,-0.0652,0.0896,0.0608
2024-10-11T10:31:19.937Z,-0.0459,0.0812,0.0812
2024-10-11T10:31:19.947Z,-0.0225,0.0691,0.1054
2024-10-11T10:31:19.957Z,-0.0093,0.0661,0.1232
2024-10-11T10:31:19.968Z,-0.0062,0.0593,0.1319
2024-10-11T10:31:19.977Z,-0.0124,0.0363,0.1198
2024-10-11T10:31:19.987Z,-0.0265,0.0055,0.0968
2024-10-11T10:31:19.997Z,-0.0323,-0.0485,0.0785
2024-10-11T10:31:20.006Z,-0.0323,-0.0485,0.0785
2024-10-11T10:31:20.020Z,0.0048,-0.0610,0.0506
