time,wx,wy,wz
2024-10-11T10:32:20.907Z,-0.6161,-0.1085,0.0672
2024-10-11T10:32:20.917Z,-0.4206,-0.3904,0.1320
2024-10-11T10:32:20.927Z,-0.2436,-0.6792,0.2233
2024-10-11T10:32:20.937Z,-0.1031,-0.8573,0.2753
2024-10-11T10:32:20.947Z,0.0034,-0.8809,0.2891
2024-10-11T10:32:20.957Z,0.0564,-0.7413,0.2849
2024-10-11T10:32:20.967Z,0.0372,-0.4865,0.3004
2024-10-11T10:32:20.977Z,-0.0422,-0.1944,0.3547
2024-10-11T10:32:20.987Z,-0.1378,0.0788,0.4348
2024-10-11T10:32:20.997Z,-0.2206,0.3010,0.5011
2024-10-11T10:32:21.007Z,-0.2689,0.4493,0.5302
2024-10-11T10:32:21.017Z,-0.2957,0.5544,0.5169
2024-10-11T10:32:21.027Z,-0.2988,0.6174,0.4737
2024-10-11T10:32:21.037Z,-0.2902,0.6350,0.4140
2024-10-11T10:32:21.047Z,-0.2602,0.6107,0.3523
2024-10-11T10:32:21.057Z,-0.2233,0.5362,0.2835
2024-10-11T10:32:21.067Z,-0.1661,0.4340,0.2194
2024-10-11T10:32:21.077Z,-0.0995,0.3585,0.1643
2024-10-11T10:32:21.087Z,-0.0420,0.3103,0.1269
2024-10-11T10:32:21.097Z,-0.0144,0.2908,0.0863
2024-10-11T10:32:21.107Z,-0.0153,0.2729,0.0559
2024-10-11T10:32:21.116Z,-0.0284,0.2537,0.0432
2024-10-11T10:32:21.127Z,-0.0484,0.2442,0.0371
2024-10-11T10:32:21.137Z,-0.0770,0.2415,0.0280
2024-10-11T10:32:21.148Z,-0.1041,0.2366,0.0205
2024-10-11T10:32:21.157Z,-0.1280,0.2135,0.0165
2024-10-11T10:32:21.168Z,-0.1293,0.1878,0.0056
2024-10-11T10:32:21.178Z,-0.1108,0.1668,-0.0058
2024-10-11T10:32:21.187Z,-0.0939,0.1582,-0.0025
2024-10-11T10:32:21.197Z,-0.1009,0.1400,0.0335
2024-10-11T10:32:21.207Z,-0.1518,0.1401,0.1166
2024-10-11T10:32:21.216Z,-0.2390,0.1656,0.2122
2024-10-11T10:32:21.227Z,-0.3424,0.2095,0.2961
2024-10-11T10:32:21.237Z,-0.4312,0.2658,0.3760
2024-10-11T10:32:21.247Z,-0.4874,0.3450,0.4465
2024-10-11T10:32:21.257Z,-0.5073,0.4663,0.5133
2024-10-11T10:32:21.266Z,-0.5184,0.5958,0.6000
2024-10-11T10:32:21.277Z,-0.5602,0.7576,0.7238
2024-10-11T10:32:21.287Z,-0.6509,0.8551,0.8920
2024-10-11T10:32:21.297Z,-0.8311,0.7734,1.0886
2024-10-11T10:32:21.307Z,-1.1195,0.5065,1.3073
2024-10-11T10:32:21.316Z,-1.4862,0.1212,1.5662
2024-10-11T10:32:21.327Z,-1.8267,-0.2537,1.9048
2024-10-11T10:32:21.337Z,-2.0426,-0.4581,2.2256
2024-10-11T10:32:21.348Z,-2.0525,-0.4669,2.4218
2024-10-11T10:32:21.357Z,-1.7753,0.0182,2.4662
2024-10-11T10:32:21.367Z,-1.1238,1.0860,2.3218
2024-10-11T10:32:21.377Z,-0.2285,1.9878,2.0178
2024-10-11T10:32:21.387Z,0.7539,2.2772,1.6172
2024-10-11T10:32:21.399Z,1.6052,2.0847,1.2109
