time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,yaw,pitch,roll
2024-10-11T12:36:04.289Z,0.0091,-0.9730,0.2247,0.0282,-0.0046,0.0816,-0.0068,0.0008,-0.0028,-2.5280,1.3359,3.0869
2024-10-11T12:36:04.296Z,0.0077,-0.9688,0.2338,0.0282,-0.0046,0.0816,-0.0083,0.0097,-0.0045,-2.5280,1.3359,3.0869
2024-10-11T12:36:04.306Z,0.0055,-0.9685,0.2349,0.0579,-0.0399,-0.0236,-0.0070,0.0050,-0.0061,-2.5275,1.3360,3.0862
2024-10-11T12:36:04.316Z,0.0069,-0.9689,0.2349,0.0579,-0.0399,-0.0236,-0.0035,0.0071,-0.0053,-2.5275,1.3360,3.0862
2024-10-11T12:36:04.326Z,0.0060,-0.9675,0.2294,0.0579,-0.0399,-0.0236,-0.0071,0.0077,-0.0067,-2.5275,1.3360,3.0862
2024-10-11T12:36:04.336Z,0.0077,-0.9668,0.2254,0.0626,-0.0551,0.0507,-0.0049,0.0090,-0.0060,-2.5267,1.3362,3.0854
2024-10-11T12:36:04.346Z,0.0060,-0.9660,0.2218,0.0626,-0.0551,0.0507,-0.0075,0.0092,-0.0091,-2.5267,1.3362,3.0854
2024-10-11T12:36:04.356Z,0.0062,-0.9689,0.2199,0.0626,-0.0551,0.0507,-0.0020,0.0074,-0.0068,-2.5267,1.3362,3.0854
2024-10-11T12:36:04.366Z,0.0037,-0.9714,0.2205,0.0755,-0.0169,0.1186,-0.0036,0.0071,-0.0067,-2.5258,1.3363,3.0845
2024-10-11T12:36:04.376Z,0.0076,-0.9724,0.2200,0.0755,-0.0169,0.1186,-0.0016,0.0093,-0.0084,-2.5258,1.3363,3.0845
2024-10-11T12:36:04.386Z,0.0072,-0.9712,0.2202,0.0755,-0.0169,0.1186,0.0003,0.0094,-0.0095,-2.5258,1.3363,3.0845
2024-10-11T12:36:04.396Z,0.0085,-0.9700,0.2221,0.0659,-0.0180,0.1057,0.0004,0.0092,-0.0091,-2.5249,1.3363,3.0836
2024-10-11T12:36:04.406Z,0.0085,-0.9709,0.2215,0.0659,-0.0180,0.1057,0.0037,0.0098,-0.0107,-2.5249,1.3363,3.0836
2024-10-11T12:36:04.416Z,0.0082,-0.9698,0.2231,0.0659,-0.0180,0.1057,0.0026,0.0091,-0.0111,-2.5249,1.3363,3.0836
2024-10-11T12:36:04.427Z,0.0101,-0.9698,0.2225,0.0374,-0.0256,0.0862,0.0043,0.0132,-0.0112,-2.5239,1.3361,3.0828
2024-10-11T12:36:04.437Z,0.0108,-0.9709,0.2241,0.0374,-0.0256,0.0862,0.0048,0.0141,-0.0100,-2.5239,1.3361,3.0828
2024-10-11T12:36:04.446Z,0.0099,-0.9705,0.2289,0.0374,-0.0256,0.0862,0.0034,0.0156,-0.0083,-2.5239,1.3361,3.0828
2024-10-11T12:36:04.456Z,0.0091,-0.9702,0.2333,0.0497,-0.0207,-0.0030,0.0042,0.0155,-0.0093,-2.5228,1.3360,3.0820
2024-10-11T12:36:04.466Z,0.0090,-0.9699,0.2335,0.0497,-0.0207,-0.0030,0.0067,0.0167,-0.0069,-2.5228,1.3360,3.0820
2024-10-11T12:36:04.476Z,0.0108,-0.9717,0.2363,0.0497,-0.0207,-0.0030,0.0032,0.0179,-0.0072,-2.5228,1.3360,3.0820
2024-10-11T12:36:04.486Z,0.0140,-0.9717,0.2375,0.0096,-0.0125,-0.0513,0.0013,0.0215,-0.0083,-2.5220,1.3359,3.0816
2024-10-11T12:36:04.495Z,0.0142,-0.9745,0.2400,0.0096,-0.0125,-0.0513,0.0042,0.0209,-0.0051,-2.5220,1.3359,3.0816
2024-10-11T12:36:04.506Z,0.0170,-0.9750,0.2407,0.0096,-0.0125,-0.0513,0.0013,0.0221,-0.0059,-2.5220,1.3359,3.0816
2024-10-11T12:36:04.516Z,0.0181,-0.9763,0.2395,-0.0292,0.0361,-0.0882,-0.0034,0.0253,-0.0049,-2.5215,1.3359,3.0814
2024-10-11T12:36:04.526Z,0.0217,-0.9754,0.2384,-0.0292,0.0361,-0.0882,-0.0030,0.0269,-0.0055,-2.5215,1.3359,3.0814
2024-10-11T12:36:04.536Z,0.0200,-0.9753,0.2358,-0.0292,0.0361,-0.0882,-0.0028,0.0303,-0.0042,-2.5215,1.3359,3.0814
2024-10-11T12:36:04.546Z,0.0209,-0.9726,0.2353,-0.0601,0.0190,-0.0326,-0.0035,0.0299,-0.0027,-2.5213,1.3360,3.0819
2024-10-11T12:36:04.556Z,0.0203,-0.9719,0.2322,-0.0601,0.0190,-0.0326,-0.0055,0.0310,-0.0012,-2.5213,1.3360,3.0819
2024-10-11T12:36:04.566Z,0.0201,-0.9717,0.2303,-0.0601,0.0190,-0.0326,-0.0029,0.0302,0.0008,-2.5213,1.3360,3.0819
2024-10-11T12:36:04.577Z,0.0160,-0.9728,0.2239,-0.0339,0.0042,0.0530,-0.0078,0.0288,0.0021,-2.5215,1.3362,3.0827
2024-10-11T12:36:04.586Z,0.0139,-0.9739,0.2204,-0.0339,0.0042,0.0530,-0.0033,0.0294,-0.0019,-2.5215,1.3362,3.0827
2024-10-11T12:36:04.596Z,0.0107,-0.9769,0.2214,-0.0339,0.0042,0.0530,-0.0035,0.0270,-0.0021,-2.5215,1.3362,3.0827
2024-10-11T12:36:04.606Z,0.0118,-0.9782,0.2240,0.0297,0.0440,0.0908,-0.0016,0.0254,-0.0013,-2.5215,1.3362,3.0832
2024-10-11T12:36:04.616Z,0.0137,-0.9789,0.2264,0.0297,0.0440,0.0908,-0.0001,0.0210,-0.0010,-2.5215,1.3362,3.0832
2024-10-11T12:36:04.626Z,0.0131,-0.9820,0.2272,0.0297,0.0440,0.0908,-0.0025,0.0202,-0.0036,-2.5215,1.3362,3.0832
2024-10-11T12:36:04.637Z,0.0154,-0.9828,0.2274,-0.0180,0.0992,0.0471,-0.0028,0.0186,-0.0006,-2.5213,1.3362,3.0834
2024-10-11T12:36:04.646Z,0.0177,-0.9847,0.2284,-0.0180,0.0992,0.0471,-0.0002,0.0162,-0.0008,-2.5213,1.3362,3.0834
2024-10-11T12:36:04.656Z,0.0184,-0.9836,0.2260,-0.0180,0.0992,0.0471,0.0005,0.0153,-0.0034,-2.5213,1.3362,3.0834
2024-10-11T12:36:04.667Z,0.0199,-0.9817,0.2262,-0.0649,0.0935,0.0593,0.0001,0.0131,-0.0033,-2.5212,1.3362,3.0834
2024-10-11T12:36:04.676Z,0.0167,-0.9790,0.2268,-0.0649,0.0935,0.0593,0.0001,0.0103,-0.0007,-2.5212,1.3362,3.0834
2024-10-11T12:36:04.686Z,0.0153,-0.9789,0.2270,-0.0649,0.0935,0.0593,-0.0008,0.0117,0.0004,-2.5212,1.3362,3.0834
2024-10-11T12:36:04.695Z,0.0164,-0.9791,0.2287,-0.0380,0.0686,0.0354,0.0002,0.0122,-0.0026,-2.5211,1.3363,3.0834
2024-10-11T12:36:04.706Z,0.0123,-0.9781,0.2312,-0.0380,0.0686,0.0354,-0.0032,0.0138,-0.0018,-2.5211,1.3363,3.0834
2024-10-11T12:36:04.716Z,0.0155,-0.9756,0.2351,-0.0380,0.0686,0.0354,-0.0009,0.0099,-0.0017,-2.5211,1.3363,3.0834
2024-10-11T12:36:04.726Z,0.0112,-0.9748,0.2346,-0.0022,0.0230,-0.0340,-0.0016,0.0143,-0.0000,-2.5211,1.3364,3.0835
2024-10-11T12:36:04.736Z,0.0140,-0.9730,0.2364,-0.0022,0.0230,-0.0340,-0.0029,0.0133,-0.0005,-2.5211,1.3364,3.0835
2024-10-11T12:36:04.745Z,0.0174,-0.9730,0.2395,-0.0022,0.0230,-0.0340,-0.0040,0.0197,0.0007,-2.5211,1.3364,3.0835
2024-10-11T12:36:04.756Z,0.0196,-0.9738,0.2407,-0.0504,0.0068,-0.0848,-0.0044,0.0200,0.0006,-2.5211,1.3366,3.0839
2024-10-11T12:36:04.766Z,0.0174,-0.9740,0.2378,-0.0504,0.0068,-0.0848,-0.0051,0.0238,-0.0005,-2.5211,1.3366,3.0839
2024-10-11T12:36:04.776Z,0.0193,-0.9729,0.2341,-0.0504,0.0068,-0.0848,-0.0056,0.0228,0.0013,-2.5211,1.3366,3.0839
2024-10-11T12:36:04.786Z,0.0165,-0.9713,0.2319,-0.0589,-0.0094,-0.0083,-0.0045,0.0262,0.0030,-2.5215,1.3367,3.0848
2024-10-11T12:36:04.795Z,0.0104,-0.9693,0.2338,-0.0589,-0.0094,-0.0083,-0.0049,0.0280,0.0018,-2.5215,1.3367,3.0848
2024-10-11T12:36:04.806Z,0.0094,-0.9669,0.2345,-0.0589,-0.0094,-0.0083,-0.0038,0.0281,0.0020,-2.5215,1.3367,3.0848
2024-10-11T12:36:04.816Z,0.0070,-0.9678,0.2318,0.0441,-0.0577,-0.0169,-0.0041,0.0250,0.0035,-2.5219,1.3368,3.0857
2024-10-11T12:36:04.826Z,0.0081,-0.9683,0.2313,0.0441,-0.0577,-0.0169,-0.0023,0.0277,-0.0003,-2.5219,1.3368,3.0857
2024-10-11T12:36:04.836Z,0.0096,-0.9678,0.2335,0.0441,-0.0577,-0.0169,-0.0045,0.0286,-0.0010,-2.5219,1.3368,3.0857
2024-10-11T12:36:04.846Z,0.0088,-0.9674,0.2344,0.0431,-0.0484,-0.0307,-0.0038,0.0290,-0.0012,-2.5217,1.3368,3.0860
